,side,expect_profit,real_profit
0,SELL,120.0,-500.0
1,BUY,90.0,180.0
2,BUY,90.0,-210.0
3,SELL,10.0,320.0
4,SELL,330.0,360.0
5,SELL,50.0,139.51219512194803
6,SELL,240.0,110.0
7,SELL,180.0,-90.0
8,SELL,310.0,-300.0
9,SELL,210.0,-450.0
10,BUY,80.0,-320.0
11,SELL,70.0,-130.0
12,BUY,170.0,0.0
13,BUY,340.0,10.0
14,SELL,50.0,130.0
15,BUY,0.0,-100.0
16,BUY,810.0,-10.0
17,SELL,30.0,-25.942028985504294
18,SELL,40.0,109.41176470588107
19,BUY,20.0,-210.0
20,BUY,390.0,-90.0
21,SELL,50.0,-530.0
22,BUY,0.0,120.0
23,BUY,0.0,410.0
24,BUY,130.0,-360.0
25,SELL,270.0,180.0
26,BUY,30.0,191.48936170212983
27,BUY,630.0,680.0
28,BUY,200.0,-140.0
29,BUY,60.0,-70.0
30,BUY,470.0,-230.0
31,SELL,80.0,190.0
32,SELL,1110.0,-290.0
33,BUY,410.0,40.0
34,SELL,0.0,-40.0
35,SELL,90.0,30.0
36,SELL,20.0,-100.0
37,SELL,140.0,-50.0
38,BUY,70.0,80.0
39,BUY,600.0,700.0
40,BUY,0.0,-810.0
41,SELL,130.0,360.0
42,BUY,40.0,-380.0
43,SELL,300.0,380.0
44,SELL,120.0,-100.0
45,BUY,210.0,70.0
46,SELL,40.0,240.0
47,SELL,10.0,20.0
48,BUY,170.0,170.0
49,BUY,550.0,-170.0
50,BUY,100.0,-200.0
51,SELL,110.0,-30.0
52,SELL,190.0,11.153846153843915
53,BUY,200.0,-431.56862745097897
54,SELL,200.0,320.0
55,SELL,200.0,-120.0
56,BUY,410.0,733.4883720930229
57,BUY,0.0,120.0
58,BUY,120.0,180.0
59,BUY,130.0,-60.0
60,SELL,100.0,150.0
61,SELL,60.0,-30.0
62,BUY,150.0,470.0
63,SELL,920.0,-480.0
64,BUY,110.0,80.0
65,SELL,30.0,30.0
66,SELL,80.0,-19.846153846156085
67,SELL,210.0,-530.0
68,BUY,30.0,-30.0
69,BUY,40.0,-354.0
70,SELL,0.0,-190.0
71,SELL,0.0,120.0
72,SELL,0.0,430.0
73,SELL,200.0,-210.0
74,SELL,110.0,-100.0
75,BUY,10.0,110.0
76,BUY,140.0,-100.0
77,SELL,40.0,-280.0
78,BUY,10.0,20.0
79,BUY,20.0,60.0
80,BUY,0.0,-42.5
81,BUY,100.0,-20.0
82,SELL,110.0,-250.0
83,BUY,0.0,-80.0
84,BUY,190.0,-56.92307692307804
85,SELL,550.0,-60.0
86,SELL,330.0,-360.0
87,SELL,30.0,-130.0
88,BUY,490.0,640.0
89,BUY,250.0,0.0
90,BUY,0.0,60.65934065933834
91,BUY,0.0,100.0
92,BUY,0.0,140.0
93,BUY,30.0,-370.0
94,BUY,0.0,80.0
95,BUY,140.0,300.0
96,BUY,0.0,50.0
97,BUY,0.0,220.0
98,BUY,0.0,1530.0
99,SELL,640.0,-140.0
100,SELL,2460.0,-850.0
101,BUY,560.0,600.0
102,BUY,360.0,1420.0
103,BUY,10.0,20.0
104,BUY,0.0,-190.0
105,SELL,920.0,1550.0
106,BUY,140.0,-620.0
107,BUY,660.0,-70.0
108,SELL,260.0,660.0
109,SELL,210.0,737.9104477611909
110,BUY,890.0,-530.0
111,SELL,940.0,-730.0
112,BUY,190.0,-180.0
113,BUY,40.0,-152.27272727272793
114,SELL,390.0,-370.0
115,BUY,120.0,420.0
116,BUY,410.0,500.0
117,SELL,160.0,-430.0
118,SELL,640.0,-560.0
119,BUY,70.0,-1350.0
120,SELL,200.0,190.0
121,BUY,500.0,-370.0
122,SELL,400.0,-410.0
123,BUY,40.0,160.0
124,SELL,80.0,-510.0
125,SELL,1400.0,-70.0
126,BUY,30.0,-140.0
127,SELL,110.0,230.0
128,SELL,70.0,-100.0
129,BUY,150.0,370.0
130,BUY,200.0,200.0
131,BUY,470.0,130.0
132,SELL,50.0,100.0
133,SELL,180.0,380.0
134,BUY,150.0,230.0
135,BUY,20.0,210.0
136,SELL,300.0,-400.0
137,BUY,130.0,-130.0
138,SELL,40.0,-640.0
139,BUY,150.0,520.0
140,BUY,310.0,-40.0
141,BUY,10.0,-310.0
142,SELL,50.0,520.0
143,SELL,60.0,20.0
144,SELL,970.0,1070.0
145,BUY,250.0,-670.0
146,SELL,400.0,360.0
147,SELL,440.0,-490.0
148,BUY,240.0,-190.0
149,BUY,60.0,170.0
150,BUY,70.0,-370.0
151,BUY,30.0,-300.0
152,SELL,360.0,560.0
153,SELL,0.0,-630.0
154,BUY,20.0,-90.0
155,BUY,80.0,100.0
156,BUY,40.0,-150.0
157,BUY,680.0,-100.0
158,BUY,100.0,10.0
159,BUY,260.0,-70.0
160,SELL,300.0,280.0
161,SELL,100.0,380.0
162,SELL,20.0,-180.0
163,BUY,10.0,60.0
164,BUY,0.0,-390.0
165,SELL,620.0,-80.0
166,SELL,120.0,-160.0
167,BUY,80.0,-550.0
168,SELL,20.0,-620.0
169,BUY,90.0,410.0
170,BUY,80.0,90.0
171,BUY,0.0,30.0
172,BUY,0.0,-190.0
173,BUY,130.0,-170.0
174,SELL,380.0,120.0
175,SELL,60.0,100.0
176,SELL,30.0,-110.0
177,BUY,10.0,10.0
178,BUY,130.0,140.0
179,SELL,110.0,
