datetime,order_book_id,symbol,side,last_quantity,last_price,transaction_cost,profit,profit_without_fee,profit_with_fee
2011-02-14 15:00:00,399300.XSHE,沪深300(深),BUY,310,3218.8,798.26,,,
2011-02-15 15:00:00,399300.XSHE,沪深300(深),SELL,310,3218.23,798.12,-0.5700000000001637,-176.70000000005075,-974.8200000000508
2011-02-28 15:00:00,399300.XSHE,沪深300(深),BUY,308,3239.91,798.31,,,
2011-03-01 15:00:00,399300.XSHE,沪深300(深),SELL,308,3254.89,802.0,14.980000000000018,4613.840000000006,3811.8400000000056
2011-04-06 15:00:00,399300.XSHE,沪深300(深),BUY,302,3311.49,800.06,,,
2011-04-07 15:00:00,399300.XSHE,沪深300(深),SELL,302,3324.01,803.08,12.520000000000437,3781.040000000132,2977.960000000132
2011-07-04 15:00:00,399300.XSHE,沪深300(深),BUY,321,3121.98,801.72,,,
2011-07-05 15:00:00,399300.XSHE,沪深300(深),SELL,321,3122.5,801.86,0.5199999999999818,166.91999999999416,-634.9400000000059
2011-07-15 15:00:00,399300.XSHE,沪深300(深),BUY,320,3128.89,801.0,,,
2011-07-18 15:00:00,399300.XSHE,沪深300(深),SELL,320,3122.6,799.39,-6.289999999999964,-2012.7999999999884,-2812.1899999999882
2012-02-03 15:00:00,399300.XSHE,沪深300(深),BUY,398,2506.09,797.94,,,
2012-02-06 15:00:00,399300.XSHE,沪深300(深),SELL,398,2504.32,797.38,-1.7699999999999818,-704.4599999999928,-1501.8399999999929
2012-02-09 15:00:00,399300.XSHE,沪深300(深),BUY,393,2529.23,795.19,,,
2012-02-10 15:00:00,399300.XSHE,沪深300(深),SELL,393,2533.62,796.57,4.389999999999873,1725.26999999995,928.6999999999499
2012-02-15 15:00:00,399300.XSHE,沪深300(深),BUY,390,2549.61,795.48,,,
2012-02-16 15:00:00,399300.XSHE,沪深300(深),SELL,390,2536.07,791.25,-13.539999999999964,-5280.599999999986,-6071.849999999986
2012-02-22 15:00:00,399300.XSHE,沪深300(深),BUY,380,2597.48,789.63,,,
2012-02-23 15:00:00,399300.XSHE,沪深300(深),SELL,380,2606.26,792.3,8.7800000000002,3336.400000000076,2544.100000000076
2012-03-02 15:00:00,399300.XSHE,沪深300(深),BUY,369,2679.93,791.12,,,
2012-03-05 15:00:00,399300.XSHE,沪深300(深),SELL,369,2662.7,786.03,-17.230000000000018,-6357.870000000006,-7143.900000000006
2012-03-09 15:00:00,399300.XSHE,沪深300(深),BUY,369,2664.3,786.5,,,
2012-03-12 15:00:00,399300.XSHE,沪深300(深),SELL,369,2654.4,783.58,-9.900000000000091,-3653.1000000000336,-4436.680000000034
2012-10-18 15:00:00,399300.XSHE,沪深300(深),BUY,418,2336.08,781.19,,,
2012-10-19 15:00:00,399300.XSHE,沪深300(深),SELL,418,2332.47,779.98,-3.6100000000001273,-1508.9800000000532,-2288.9600000000532
2012-12-14 15:00:00,399300.XSHE,沪深300(深),BUY,413,2355.86,778.38,,,
2012-12-17 15:00:00,399300.XSHE,沪深300(深),SELL,413,2366.7,781.96,10.83999999999969,4476.919999999873,3694.9599999998727
2012-12-25 15:00:00,399300.XSHE,沪深300(深),BUY,399,2448.4,781.53,,,
2012-12-26 15:00:00,399300.XSHE,沪深300(深),SELL,399,2457.62,784.47,9.2199999999998,3678.77999999992,2894.3099999999204
2013-01-15 15:00:00,399300.XSHE,沪深300(深),BUY,377,2595.86,782.91,,,
2013-01-16 15:00:00,399300.XSHE,沪深300(深),SELL,377,2577.09,777.25,-18.769999999999982,-7076.289999999994,-7853.539999999994
2013-01-21 15:00:00,399300.XSHE,沪深300(深),BUY,371,2610.9,774.92,,,
2013-01-22 15:00:00,399300.XSHE,沪深300(深),SELL,371,2596.9,770.76,-14.0,-5194.0,-5964.76
2013-01-29 15:00:00,399300.XSHE,沪深300(深),BUY,360,2675.87,770.65,,,
2013-01-30 15:00:00,399300.XSHE,沪深300(深),SELL,360,2688.71,774.35,12.840000000000146,4622.400000000052,3848.0500000000525
2013-05-06 15:00:00,399300.XSHE,沪深300(深),BUY,383,2525.98,773.96,,,
2013-05-07 15:00:00,399300.XSHE,沪深300(深),SELL,383,2529.94,775.17,3.9600000000000364,1516.680000000014,741.510000000014
2013-05-17 15:00:00,399300.XSHE,沪深300(深),BUY,373,2592.05,773.47,,,
2013-05-20 15:00:00,399300.XSHE,沪深300(深),SELL,373,2609.61,778.71,17.559999999999945,6549.879999999979,5771.169999999979
2013-05-28 15:00:00,399300.XSHE,沪深300(深),BUY,367,2644.36,776.38,,,
2013-05-29 15:00:00,399300.XSHE,沪深300(深),SELL,367,2642.56,775.86,-1.800000000000182,-660.6000000000668,-1436.4600000000669
2013-08-12 15:00:00,399300.XSHE,沪深300(深),BUY,412,2352.79,775.48,,,
2013-08-13 15:00:00,399300.XSHE,沪深300(深),SELL,412,2359.07,777.55,6.2800000000002,2587.3600000000824,1809.8100000000825
2013-08-26 15:00:00,399300.XSHE,沪深300(深),BUY,415,2335.62,775.43,,,
2013-08-27 15:00:00,399300.XSHE,沪深300(深),SELL,415,2340.88,777.17,5.260000000000218,2182.9000000000906,1405.7300000000905
2013-09-09 15:00:00,399300.XSHE,沪深300(深),BUY,398,2440.61,777.09,,,
2013-09-10 15:00:00,399300.XSHE,沪深300(深),SELL,398,2474.89,788.0,34.279999999999745,13643.439999999899,12855.439999999899
2013-11-27 15:00:00,399300.XSHE,沪深300(深),BUY,407,2414.48,786.15,,,
2013-11-28 15:00:00,399300.XSHE,沪深300(深),SELL,407,2439.53,794.31,25.050000000000182,10195.350000000075,9401.040000000075
2013-12-04 15:00:00,399300.XSHE,沪深300(深),BUY,401,2475.14,794.02,,,
2013-12-05 15:00:00,399300.XSHE,沪深300(深),SELL,401,2468.2,791.8,-6.940000000000055,-2782.940000000022,-3574.7400000000216
2014-02-17 15:00:00,399300.XSHE,沪深300(深),BUY,427,2311.65,789.66,,,
2014-02-18 15:00:00,399300.XSHE,沪深300(深),SELL,427,2282.44,779.68,-29.210000000000036,-12472.670000000016,-13252.350000000017
2014-02-19 15:00:00,399300.XSHE,沪深300(深),BUY,422,2308.66,779.4,,,
2014-02-20 15:00:00,399300.XSHE,沪深300(深),SELL,422,2287.44,772.24,-21.2199999999998,-8954.839999999916,-9727.079999999916
2014-04-02 15:00:00,399300.XSHE,沪深300(深),BUY,441,2180.73,769.36,,,
2014-04-03 15:00:00,399300.XSHE,沪深300(深),SELL,441,2165.01,763.82,-15.7199999999998,-6932.519999999911,-7696.339999999911
2014-07-22 15:00:00,399300.XSHE,沪深300(深),BUY,435,2192.7,763.06,,,
2014-07-23 15:00:00,399300.XSHE,沪深300(深),SELL,435,2197.83,764.84,5.130000000000109,2231.5500000000475,1466.7100000000473
2014-08-04 15:00:00,399300.XSHE,沪深300(深),BUY,402,2375.62,764.0,,,
2014-08-05 15:00:00,399300.XSHE,沪深300(深),SELL,402,2369.35,761.98,-6.269999999999982,-2520.5399999999927,-3282.5199999999927
2014-08-18 15:00:00,399300.XSHE,沪深300(深),BUY,400,2374.56,759.86,,,
2014-08-19 15:00:00,399300.XSHE,沪深300(深),SELL,400,2374.77,759.93,0.21000000000003638,84.00000000001455,-675.9299999999854
2014-09-19 15:00:00,399300.XSHE,沪深300(深),BUY,391,2425.21,758.61,,,
2014-09-22 15:00:00,399300.XSHE,沪深300(深),SELL,391,2378.92,744.13,-46.289999999999964,-18099.389999999985,-18843.519999999986
2014-09-24 15:00:00,399300.XSHE,沪深300(深),BUY,381,2441.86,744.28,,,
2014-09-25 15:00:00,399300.XSHE,沪深300(深),SELL,381,2436.96,742.79,-4.900000000000091,-1866.9000000000347,-2609.6900000000346
2014-11-10 15:00:00,399300.XSHE,沪深300(深),BUY,361,2565.73,740.98,,,
2014-11-11 15:00:00,399300.XSHE,沪深300(深),SELL,361,2558.61,738.93,-7.119999999999891,-2570.3199999999606,-3309.2499999999604
2014-11-12 15:00:00,399300.XSHE,沪深300(深),BUY,355,2594.32,736.79,,,
2014-11-13 15:00:00,399300.XSHE,沪深300(深),SELL,355,2579.75,732.65,-14.570000000000164,-5172.350000000059,-5905.000000000058
2014-11-21 15:00:00,399300.XSHE,沪深300(深),BUY,354,2583.46,731.64,,,
2014-11-24 15:00:00,399300.XSHE,沪深300(深),SELL,354,2649.26,750.27,65.80000000000018,23293.200000000063,22542.930000000062
2014-12-04 15:00:00,399300.XSHE,沪深300(深),BUY,302,3104.35,750.01,,,
2014-12-05 15:00:00,399300.XSHE,沪深300(深),SELL,302,3124.88,754.97,20.5300000000002,6200.06000000006,5445.09000000006
2014-12-08 15:00:00,399300.XSHE,沪深300(深),BUY,290,3252.88,754.67,,,
2014-12-09 15:00:00,399300.XSHE,沪深300(深),SELL,290,3106.91,720.8,-145.97000000000025,-42331.300000000076,-43052.10000000008
2014-12-16 15:00:00,399300.XSHE,沪深300(深),BUY,272,3303.4,718.82,,,
