datetime,order_book_id,symbol,side,position_effect,last_quantity,last_price,transaction_cost
2016-01-05 00:16:00,CU1603,CU1603,SELL,OPEN,84,35910.0,377.06
2016-01-05 21:31:00,CU1603,CU1603,BUY,CLOSE,84,36410.0,382.31
2016-01-06 14:46:00,CU1603,CU1603,BUY,OPEN,87,36260.0,394.33
2016-01-06 22:46:00,CU1603,CU1603,SELL,CLOSE,87,36440.0,396.29
2016-01-06 23:46:00,CU1603,CU1603,BUY,OPEN,95,36420.0,432.49
2016-01-07 11:01:00,CU1603,CU1603,SELL,CLOSE,95,36210.0,0.0
2016-01-07 21:01:00,CU1603,CU1603,SELL,OPEN,85,35910.0,381.54
2016-01-07 22:01:00,CU1603,CU1603,BUY,CLOSE,85,35590.0,0.0
2016-01-08 11:16:00,CU1603,CU1603,SELL,OPEN,101,35590.0,449.32
2016-01-11 10:31:00,CU1603,CU1603,BUY,CLOSE,101,35230.0,444.78
2016-01-11 21:31:00,CU1603,CU1603,SELL,OPEN,123,35100.0,539.66
2016-01-11 23:31:00,CU1603,CU1603,BUY,CLOSE,110,34970.0,0.0
2016-01-12 00:31:00,CU1603,CU1603,BUY,CLOSE,13,34880.0,0.0
2016-01-12 09:31:00,CU1603,CU1603,SELL,OPEN,133,35010.0,582.04
2016-01-12 21:46:00,CU1603,CU1603,BUY,CLOSE,133,34900.0,580.21
2016-01-13 09:46:00,CU1603,CU1603,SELL,OPEN,142,34810.0,617.88
2016-01-14 11:16:00,CU1603,CU1603,BUY,CLOSE,142,34900.0,619.48
2016-01-21 00:16:00,CU1603,CU1603,SELL,OPEN,50,34940.0,218.38
2016-01-21 10:31:00,CU1603,CU1603,BUY,CLOSE,50,35240.0,0.0
2016-01-21 14:31:00,CU1603,CU1603,SELL,OPEN,126,34840.0,548.73
2016-01-22 09:31:00,CU1603,CU1603,BUY,CLOSE,126,35290.0,555.82
2016-01-22 22:46:00,CU1603,CU1603,BUY,OPEN,92,35310.0,406.06
2016-01-25 11:01:00,CU1603,CU1603,SELL,CLOSE,92,34990.0,0.0
2016-01-25 23:01:00,CU1603,CU1603,SELL,OPEN,76,34920.0,331.74
2016-01-26 14:16:00,CU1603,CU1603,BUY,CLOSE,76,35050.0,0.0
2016-01-27 21:31:00,CU1603,CU1603,BUY,OPEN,69,35750.0,308.34
2016-01-28 09:31:00,CU1603,CU1603,SELL,CLOSE,69,35750.0,0.0
2016-01-28 23:46:00,CU1603,CU1603,BUY,OPEN,69,35580.0,306.88
2016-01-29 00:46:00,CU1603,CU1603,SELL,CLOSE,69,35590.0,0.0
2016-01-29 09:46:00,CU1603,CU1603,SELL,OPEN,69,35650.0,307.48
2016-01-29 11:01:00,CU1603,CU1603,BUY,CLOSE,69,35520.0,0.0
2016-02-04 14:01:00,CU1604,CU1604,BUY,OPEN,72,36500.0,328.5
2016-02-04 21:01:00,CU1604,CU1604,SELL,CLOSE,72,36400.0,327.6
2016-02-15 09:16:00,CU1604,CU1604,BUY,OPEN,70,35770.0,312.99
2016-02-15 10:31:00,CU1604,CU1604,SELL,CLOSE,70,35760.0,0.0
2016-02-15 13:31:00,CU1604,CU1604,SELL,OPEN,69,35740.0,308.26
2016-02-15 22:31:00,CU1604,CU1604,BUY,CLOSE,4,35700.0,17.85
2016-02-15 23:31:00,CU1604,CU1604,BUY,CLOSE,65,35770.0,290.63
2016-02-16 14:46:00,CU1604,CU1604,SELL,OPEN,68,35730.0,303.7
2016-02-17 00:46:00,CU1604,CU1604,BUY,CLOSE,23,35700.0,102.64
